time,distance
1748453877.5245872,-0.2544015645980835
1748453877.524611,-0.2544015645980835
1748453877.5246158,-0.2544015645980835
1748453877.5246181,-0.2544015645980835
1748453877.5246232,-0.2544015645980835
1748453877.5246248,-0.2544015645980835
1748453877.5246263,-0.2544015645980835
1748453877.524636,-0.2544015645980835
1748453877.524638,-0.2544015645980835
1748453877.5246465,-0.2544015645980835
1748453877.524649,-0.2544015645980835
1748453877.5246563,-0.2544015645980835
1748453877.5246596,-0.2544015645980835
1748453877.524665,-0.2544015645980835
1748453877.5246673,-0.2544015645980835
1748453877.5247028,-0.2544015645980835
1748453877.5247903,-0.2544015645980835
1748453877.5248034,-0.2544015645980835
1748453877.5248053,-0.2544015645980835
1748453877.5248108,-0.2544015645980835
1748453877.5248148,-0.2544015645980835
1748453877.5248172,-0.2544015645980835
1748453877.5248196,-0.2544015645980835
1748453877.5248291,-0.2544015645980835
1748453877.524841,-0.2544015645980835
1748453877.5248501,-0.2544015645980835
1748453877.5248656,-0.2544015645980835
1748453877.524869,-0.2544015645980835
1748453877.5248911,-0.2544015645980835
1748453877.5249882,-0.2544015645980835
1748453877.524993,-0.2544015645980835
1748453877.524997,-0.2544015645980835
1748453877.5250065,-0.2544015645980835
1748453877.5250084,-0.2544015645980835
1748453877.5250137,-0.2544015645980835
1748453877.5250196,-0.2544015645980835
1748453877.5250216,-0.2544015645980835
1748453877.525025,-0.2544015645980835
1748453877.525028,-0.2544015645980835
1748453877.5250309,-0.2544015645980835
1748453877.5250413,-0.2544015645980835
1748453877.525045,-0.2544015645980835
1748453877.5250466,-0.2544015645980835
1748453877.5250533,-0.2544015645980835
1748453877.5250843,-0.2544015645980835
1748453877.5251536,-0.2544015645980835
1748453877.525163,-0.2544015645980835
1748453877.5251656,-0.2544015645980835
1748453877.5251677,-0.2544015645980835
1748453877.525171,-0.2544015645980835
1748453877.525174,-0.2544015645980835
1748453877.5251794,-0.2544015645980835
1748453877.5251842,-0.2544015645980835
1748453877.525186,-0.2544015645980835
1748453877.5251899,-0.2544015645980835
1748453877.525192,-0.2544015645980835
1748453877.5251958,-0.2544015645980835
1748453877.5252013,-0.2544015645980835
1748453877.5252779,-0.2544015645980835
1748453877.5252883,-0.2544015645980835
1748453877.5252929,-0.2544015645980835
1748453877.525295,-0.2544015645980835
1748453877.5252976,-0.2544015645980835
1748453877.5253015,-0.2544015645980835
1748453877.5253065,-0.2544015645980835
1748453877.5253232,-0.2544015645980835
1748453877.5253298,-0.2544015645980835
1748453877.5254092,-0.2544015645980835
