time,Observed_Predecessor1,Observed_Predecessor2,Observed_Predecessor3,Observed_Predecessor4
1748372933.8140376,0,1,2,3
1748372933.827602,0,1,2,3
1748372933.8300323,0,1,2,3
1748372933.8254936,0,1,2,3
1748372933.787682,0,1,2,3
1748372934.184412,0,1,2,3
1748372933.8541536,0,1,2,3
1748372933.870164,0,1,2,3
1748372933.867721,0,1,2,3
1748372934.20409,0,1,2,3
1748372933.8656125,0,1,2,3
1748372934.22605,0,1,2,3
1748372933.847861,0,1,2,3
1748372933.838696,0,1,2,3
1748372933.8942711,0,1,2,3
1748372933.907838,0,1,2,3
1748372933.866495,0,1,2,3
1748372933.9102924,0,1,2,3
1748372933.90573,0,1,2,3
1748372934.261337,0,1,2,3
1748372933.888715,0,1,2,3
1748372933.9343932,0,1,2,3
1748372933.9504168,0,1,2,3
1748372933.9479575,0,1,2,3
1748372933.9458466,0,1,2,3
1748372934.301028,0,1,2,3
1748372934.317629,0,1,2,3
1748372933.97451,0,1,2,3
1748372933.9880826,0,1,2,3
1748372933.9905293,0,1,2,3
1748372933.946699,0,1,2,3
1748372933.940897,0,1,2,3
1748372933.9859617,0,1,2,3
1748372934.342686,0,1,2,3
1748372933.966005,0,1,2,3
1748372934.016794,0,1,2,3
1748372934.0282044,0,1,2,3
1748372934.030646,0,1,2,3
1748372934.375505,0,1,2,3
1748372934.026079,0,1,2,3
1748372933.986313,0,1,2,3
1748372934.0569105,0,1,2,3
1748372934.068327,0,1,2,3
1748372934.0710452,0,1,2,3
1748372934.0662005,0,1,2,3
1748372934.03729,0,1,2,3
1748372934.047399,0,1,2,3
1748372934.424924,0,1,2,3
1748372934.43147,0,1,2,3
1748372934.0970285,0,1,2,3
1748372934.1084456,0,1,2,3
1748372934.069035,0,1,2,3
1748372934.1111977,0,1,2,3
1748372934.457796,0,1,2,3
1748372934.10632,0,1,2,3
1748372934.088292,0,1,2,3
1748372934.489966,0,1,2,3
1748372934.137146,0,1,2,3
1748372934.1485686,0,1,2,3
1748372934.1513166,0,1,2,3
1748372934.146493,0,1,2,3
1748372934.1772666,0,1,2,3
1748372934.188688,0,1,2,3
1748372934.13819,0,1,2,3
1748372934.191479,0,1,2,3
1748372934.150158,0,1,2,3
1748372934.1866128,0,1,2,3
1748372934.54109,0,1,2,3
1748372934.545779,0,1,2,3
1748372934.168664,0,1,2,3
1748372934.2175615,0,1,2,3
1748372934.2288053,0,1,2,3
1748372934.231593,0,1,2,3
1748372934.573596,0,1,2,3
1748372934.2267284,0,1,2,3
1748372934.186728,0,1,2,3
1748372934.604328,0,1,2,3
1748372934.2576845,0,1,2,3
1748372934.268922,0,1,2,3
1748372934.2725036,0,1,2,3
1748372934.266854,0,1,2,3
1748372934.236926,0,1,2,3
1748372934.24816,0,1,2,3
1748372934.268681,0,1,2,3
1748372934.2978194,0,1,2,3
1748372934.309041,0,1,2,3
1748372934.312627,0,1,2,3
1748372934.307844,0,1,2,3
1748372934.650618,0,1,2,3
1748372934.659043,0,1,2,3
1748372934.288073,0,1,2,3
1748372934.3382094,0,1,2,3
1748372934.3491576,0,1,2,3
1748372934.696239,0,1,2,3
1748372934.3527546,0,1,2,3
1748372934.348834,0,1,2,3
1748372934.718933,0,1,2,3
1748372934.3783216,0,1,2,3
1748372934.389288,0,1,2,3
1748372934.340494,0,1,2,3
1748372934.346554,0,1,2,3
1748372934.3934412,0,1,2,3
1748372934.3889544,0,1,2,3
1748372934.367009,0,1,2,3
1748372934.4184446,0,1,2,3
1748372934.4294052,0,1,2,3
1748372934.4336405,0,1,2,3
1748372934.4290771,0,1,2,3
1748372934.387813,0,1,2,3
1748372934.773347,0,1,2,3
1748372934.767218,0,1,2,3
1748372934.80516,0,1,2,3
1748372934.4586003,0,1,2,3
1748372934.4695165,0,1,2,3
1748372934.473772,0,1,2,3
1748372934.4691963,0,1,2,3
1748372934.445175,0,1,2,3
1748372934.834335,0,1,2,3
1748372934.441456,0,1,2,3
1748372934.467563,0,1,2,3
1748372934.4987223,0,1,2,3
1748372934.5096345,0,1,2,3
1748372934.5138972,0,1,2,3
1748372934.5093105,0,1,2,3
1748372934.488985,0,1,2,3
1748372934.5388403,0,1,2,3
1748372934.890935,0,1,2,3
1748372934.549754,0,1,2,3
1748372934.5540187,0,1,2,3
1748372934.887377,0,1,2,3
1748372934.5494325,0,1,2,3
1748372934.92096,0,1,2,3
1748372934.537562,0,1,2,3
1748372934.5789602,0,1,2,3
1748372934.5898795,0,1,2,3
1748372934.548298,0,1,2,3
1748372934.594149,0,1,2,3
1748372934.5895495,0,1,2,3
1748372934.949255,0,1,2,3
1748372934.565526,0,1,2,3
1748372934.619074,0,1,2,3
1748372934.63002,0,1,2,3
1748372934.634267,0,1,2,3
1748372934.6296687,0,1,2,3
1748372934.591702,0,1,2,3
1748372935.00118,0,1,2,3
1748372934.6592014,0,1,2,3
1748372934.6701405,0,1,2,3
1748372934.6743867,0,1,2,3
1748372935.000127,0,1,2,3
1748372934.6697862,0,1,2,3
1748372934.645332,0,1,2,3
1748372934.64519,0,1,2,3
1748372935.043629,0,1,2,3
1748372934.664995,0,1,2,3
1748372934.6995423,0,1,2,3
1748372934.7102544,0,1,2,3
1748372934.7145426,0,1,2,3
1748372935.062418,0,1,2,3
1748372934.7099085,0,1,2,3
1748372934.68761,0,1,2,3
1748372934.7406268,0,1,2,3
1748372934.7503743,0,1,2,3
1748372934.75466,0,1,2,3
1748372934.7500267,0,1,2,3
1748372935.115148,0,1,2,3
1748372935.123888,0,1,2,3
1748372934.744294,0,1,2,3
1748372934.7905076,0,1,2,3
1748372934.7807448,0,1,2,3
1748372934.73988,0,1,2,3
1748372934.794794,0,1,2,3
1748372934.790177,0,1,2,3
1748372935.15909,0,1,2,3
1748372934.763664,0,1,2,3
1748372934.8306212,0,1,2,3
1748372934.8208666,0,1,2,3
1748372935.177018,0,1,2,3
1748372934.834949,0,1,2,3
1748372934.787275,0,1,2,3
1748372934.8302977,0,1,2,3
1748372934.8707364,0,1,2,3
1748372934.8609822,0,1,2,3
1748372934.87507,0,1,2,3
1748372934.870434,0,1,2,3
1748372934.842976,0,1,2,3
1748372934.83972,0,1,2,3
1748372935.228964,0,1,2,3
1748372934.865152,0,1,2,3
1748372935.239688,0,1,2,3
1748372934.910945,0,1,2,3
1748372934.9011023,0,1,2,3
1748372934.91519,0,1,2,3
1748372934.9105484,0,1,2,3
1748372935.268439,0,1,2,3
1748372934.88773,0,1,2,3
1748372935.292568,0,1,2,3
1748372934.9510612,0,1,2,3
1748372934.9426372,0,1,2,3
1748372934.9553063,0,1,2,3
1748372934.95067,0,1,2,3
1748372934.942765,0,1,2,3
1748372934.939022,0,1,2,3
1748372934.9911768,0,1,2,3
1748372934.99545,0,1,2,3
1748372934.982762,0,1,2,3
1748372934.9907885,0,1,2,3
1748372934.965691,0,1,2,3
1748372935.343153,0,1,2,3
1748372935.356792,0,1,2,3
1748372935.0228772,0,1,2,3
1748372935.0320044,0,1,2,3
1748372935.0355728,0,1,2,3
1748372934.988471,0,1,2,3
1748372935.0309162,0,1,2,3
1748372935.383415,0,1,2,3
1748372935.40623,0,1,2,3
1748372935.062994,0,1,2,3
1748372935.072084,0,1,2,3
1748372935.0756974,0,1,2,3
1748372935.071039,0,1,2,3
1748372935.042766,0,1,2,3
1748372935.039384,0,1,2,3
1748372935.064624,0,1,2,3
1748372935.1122017,0,1,2,3
1748372935.1031096,0,1,2,3
1748372935.115832,0,1,2,3
1748372935.111157,0,1,2,3
1748372935.456469,0,1,2,3
1748372935.466182,0,1,2,3
1748372935.086946,0,1,2,3
1748372935.1523151,0,1,2,3
1748372935.1432292,0,1,2,3
1748372935.1512735,0,1,2,3
1748372935.1586149,0,1,2,3
1748372935.499166,0,1,2,3
1748372935.520597,0,1,2,3
1748372935.144165,0,1,2,3
1748372935.138718,0,1,2,3
1748372935.18335,0,1,2,3
1748372935.192443,0,1,2,3
1748372935.1913917,0,1,2,3
1748372935.162469,0,1,2,3
1748372935.2000089,0,1,2,3
1748372935.2234695,0,1,2,3
1748372935.2325623,0,1,2,3
1748372935.187921,0,1,2,3
1748372935.2401338,0,1,2,3
1748372935.233401,0,1,2,3
1748372935.577699,0,1,2,3
1748372935.582834,0,1,2,3
1748372935.272679,0,1,2,3
1748372935.2635882,0,1,2,3
1748372935.621939,0,1,2,3
1748372935.273528,0,1,2,3
1748372935.2805345,0,1,2,3
1748372935.243019,0,1,2,3
1748372935.635197,0,1,2,3
1748372935.24275,0,1,2,3
1748372935.261324,0,1,2,3
1748372935.3037062,0,1,2,3
1748372935.3127968,0,1,2,3
1748372935.3207316,0,1,2,3
1748372935.3136487,0,1,2,3
1748372935.289438,0,1,2,3
1748372935.691755,0,1,2,3
1748372935.3439794,0,1,2,3
1748372935.3529265,0,1,2,3
1748372935.3608434,0,1,2,3
1748372935.3537738,0,1,2,3
1748372935.700142,0,1,2,3
1748372935.737778,0,1,2,3
1748372935.342915,0,1,2,3
1748372935.3930457,0,1,2,3
1748372935.342138,0,1,2,3
1748372935.3841,0,1,2,3
1748372935.400965,0,1,2,3
1748372935.363378,0,1,2,3
1748372935.750141,0,1,2,3
1748372935.393895,0,1,2,3
1748372935.4242208,0,1,2,3
1748372935.4334607,0,1,2,3
1748372935.389576,0,1,2,3
1748372935.4478958,0,1,2,3
1748372935.434018,0,1,2,3
1748372935.798416,0,1,2,3
1748372935.4735758,0,1,2,3
1748372935.4643388,0,1,2,3
1748372935.815947,0,1,2,3
1748372935.4741404,0,1,2,3
1748372935.4880118,0,1,2,3
1748372935.439408,0,1,2,3
1748372935.444283,0,1,2,3
1748372935.846241,0,1,2,3
1748372935.463285,0,1,2,3
1748372935.5044558,0,1,2,3
1748372935.5136957,0,1,2,3
1748372935.864387,0,1,2,3
1748372935.5142586,0,1,2,3
1748372935.528201,0,1,2,3
1748372935.488888,0,1,2,3
1748372935.544579,0,1,2,3
1748372935.5538096,0,1,2,3
1748372935.5544162,0,1,2,3
1748372935.5683224,0,1,2,3
1748372935.912182,0,1,2,3
1748372935.542124,0,1,2,3
1748372935.540839,0,1,2,3
1748372935.5847027,0,1,2,3
1748372935.593946,0,1,2,3
1748372935.93297,0,1,2,3
1748372935.562125,0,1,2,3
1748372935.5945406,0,1,2,3
1748372935.6084387,0,1,2,3
1748372935.961975,0,1,2,3
1748372935.624827,0,1,2,3
1748372935.6346586,0,1,2,3
1748372935.978704,0,1,2,3
1748372935.591843,0,1,2,3
1748372935.6346612,0,1,2,3
1748372935.648565,0,1,2,3
1748372935.6747684,0,1,2,3
1748372935.668173,0,1,2,3
1748372935.642896,0,1,2,3
1748372935.688682,0,1,2,3
1748372935.674781,0,1,2,3
1748372936.026197,0,1,2,3
1748372935.639559,0,1,2,3
1748372935.7148857,0,1,2,3
1748372936.048871,0,1,2,3
1748372935.676648,0,1,2,3
1748372935.7082963,0,1,2,3
1748372935.7148972,0,1,2,3
1748372935.7289112,0,1,2,3
